"Name","Location","Function Signature","Function Size"
"boot_start","000000e4","undefined boot_start()","8"
"FUN_000000ec","000000ec","undefined FUN_000000ec()","44"
"FUN_00000158","00000158","undefined FUN_00000158()","4"
"FUN_0000015c","0000015c","undefined FUN_0000015c()","4"
"FUN_00000160","00000160","undefined FUN_00000160()","18"
"FUN_00000172","00000172","undefined FUN_00000172()","14"
"FUN_00000180","00000180","undefined FUN_00000180()","24"
"FUN_000001a8","000001a8","undefined FUN_000001a8()","10"
"FUN_000001c4","000001c4","undefined FUN_000001c4()","138"
"FUN_0000024e","0000024e","undefined FUN_0000024e()","100"
"FUN_000002b8","000002b8","undefined FUN_000002b8()","12"
"FUN_000002c4","000002c4","undefined FUN_000002c4()","4"
"FUN_000002cc","000002cc","undefined FUN_000002cc()","8"
"boot_sflash_rdbyte","00000300","undefined boot_sflash_rdbyte()","20"
"boot_sflash_wrcmd","00000314","undefined boot_sflash_wrcmd()","20"
"FUN_00000328","00000328","undefined FUN_00000328()","20"
"FUN_0000033c","0000033c","undefined FUN_0000033c()","32"
"FUN_0000035c","0000035c","undefined FUN_0000035c()","94"
"FUN_000003ba","000003ba","undefined FUN_000003ba()","68"
"FUN_000003fe","000003fe","undefined FUN_000003fe()","2"
"boot_sflash_read","000004fa","undefined boot_sflash_read()","132"
"FUN_0000057e","0000057e","undefined FUN_0000057e()","118"
"FUN_000007a2","000007a2","undefined FUN_000007a2()","452"
"boot_gpio_set","00000966","undefined boot_gpio_set()","374"
"FUN_00000b40","00000b40","undefined FUN_00000b40()","534"
"FUN_00000d58","00000d58","undefined FUN_00000d58()","1"
"FUN_00000f82","00000f82","undefined FUN_00000f82()","340"
"FUN_000010d8","000010d8","undefined FUN_000010d8()","158"
"FUN_00001176","00001176","undefined FUN_00001176()","112"
"FUN_000011e6","000011e6","undefined FUN_000011e6()","24"
"boot_Chip_IAP_PreSectorForReadWrite","00001224","undefined boot_Chip_IAP_PreSectorForReadWrite()","30"
"boot_Chip_IAP_CopyRamToFlash","00001242","undefined boot_Chip_IAP_CopyRamToFlash()","42"
"boot_Chip_IAP_EraseSector","0000126c","undefined boot_Chip_IAP_EraseSector()","38"
"boot_Chip_IAP_CheckBlankSector","00001292","undefined boot_Chip_IAP_CheckBlankSector()","38"
"FUN_000012b8","000012b8","undefined FUN_000012b8()","30"
"FUN_000012d6","000012d6","undefined FUN_000012d6()","30"
"boot_Chip_IAP_Compare","000012f4","undefined boot_Chip_IAP_Compare()","34"
"FUN_00001316","00001316","undefined FUN_00001316()","18"
"FUN_00001328","00001328","undefined FUN_00001328()","80"
"FUN_00001384","00001384","undefined FUN_00001384()","486"
"FUN_000015bc","000015bc","undefined FUN_000015bc()","60"
"FUN_000015f8","000015f8","undefined FUN_000015f8()","498"
"FUN_000017ea","000017ea","undefined FUN_000017ea()","18"
"FUN_000017fc","000017fc","undefined FUN_000017fc()","98"
"FUN_0000185e","0000185e","undefined FUN_0000185e()","70"
"FUN_000018a4","000018a4","undefined FUN_000018a4()","28"
"FUN_000018c0","000018c0","undefined FUN_000018c0()","140"
"FUN_0000194c","0000194c","undefined FUN_0000194c()","132"
"FUN_000019e8","000019e8","undefined FUN_000019e8()","44"
"FUN_00001a14","00001a14","undefined FUN_00001a14()","34"
"FUN_00001a36","00001a36","undefined FUN_00001a36()","52"
"FUN_00001a6a","00001a6a","undefined FUN_00001a6a()","40"
"FUN_00001a92","00001a92","undefined FUN_00001a92()","64"
"FUN_00001ad2","00001ad2","undefined FUN_00001ad2()","72"
"FUN_00001b1a","00001b1a","undefined FUN_00001b1a(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","404"
"FUN_00001cae","00001cae","undefined FUN_00001cae()","330"
"FUN_00001e08","00001e08","undefined FUN_00001e08()","152"
"FUN_00001ea0","00001ea0","undefined FUN_00001ea0()","198"
"FUN_00001f66","00001f66","undefined FUN_00001f66()","180"
"FUN_0000201a","0000201a","undefined FUN_0000201a()","20"
"FUN_0000202e","0000202e","undefined FUN_0000202e()","204"
"FUN_000020fa","000020fa","undefined FUN_000020fa()","468"
"FUN_000022de","000022de","undefined FUN_000022de()","172"
"FUN_0000238a","0000238a","undefined FUN_0000238a()","180"
"FUN_0000243e","0000243e","undefined FUN_0000243e()","86"
"FUN_00002494","00002494","undefined FUN_00002494()","50"
"FUN_000024c6","000024c6","undefined FUN_000024c6()","26"
"FUN_000024e0","000024e0","undefined FUN_000024e0()","104"
"FUN_00002548","00002548","undefined FUN_00002548()","266"
"FUN_00002666","00002666","undefined FUN_00002666()","222"
"FUN_00002744","00002744","undefined FUN_00002744()","278"
"FUN_0000285a","0000285a","undefined FUN_0000285a()","272"
"FUN_0000296a","0000296a","undefined FUN_0000296a()","38"
"FUN_00002990","00002990","undefined FUN_00002990()","1"
"FUN_00002bd4","00002bd4","undefined FUN_00002bd4(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","186"
"FUN_00002c8e","00002c8e","undefined FUN_00002c8e()","138"
"FUN_00002d18","00002d18","undefined FUN_00002d18()","132"
"FUN_00002d9c","00002d9c","undefined FUN_00002d9c()","104"
